Day,Attraction,Location
Day 1,Greystone Mansion & Gardens - The Doheny Estate,905 Loma Vista Dr
Day 1,Los Angeles Arts District,801 Traction Ave
Day 1,The Original Farmers Market,6333 W 3rd St
Day 2,The Original Farmers Market,6333 W 3rd St
Day 2,The Broad,221 S Grand Ave
Day 2,Los Angeles Arts District,801 Traction Ave
Day 3,Beverly Gardens Park,North Santa Monica Blvd And North Beverly Dr
Day 3,Brady Bunch House,11222 Dilling St
Day 3,Madame Tussauds Hollywood,6933 Hollywood Blvd
