Day,Attraction,Location
Day 1,AT&T Discovery District,208 S Akard St
Day 1,Deep Ellum Neighborhood,501-585 N Malcolm X Blvd
Day 1,Dealey Plaza,500 Main St
Day 2,Deep Ellum Neighborhood,501-585 N Malcolm X Blvd
Day 2,Fair Park,3809 Grand Ave
Day 2,Reunion Tower,300 Reunion Blvd E
Day 3,Reunion Tower,300 Reunion Blvd E
Day 3,Nasher Sculpture Center,2001 Flora St
Day 3,Pioneer Plaza Cattle Drive,Young St & Griffin St
